elapsed time in ms,number of input files,function_name
22978.52468490601,24,process_vision_data
19809.2257976532,50,process_vision_data
17625.016689300537,50,process_vision_data
17378.24273109436,50,process_vision_data
17458.279848098755,50,process_vision_data
17384.84787940979,50,process_vision_data
17595.855712890625,50,process_vision_data
17311.506509780884,50,process_vision_data
17357.77473449707,50,process_vision_data
16825.71029663086,25,process_vision_data
17084.430694580078,25,process_vision_data
17581.37798309326,50,process_vision_data
17588.671445846558,50,process_vision_data
17368.821620941162,50,process_vision_data
17414.442539215088,50,process_vision_data
17311.655521392822,50,process_vision_data
17680.66096305847,51,process_vision_data
17359.560251235962,50,process_vision_data
17473.232746124268,50,process_vision_data
17539.700269699097,50,process_vision_data
17343.81151199341,50,process_vision_data
17354.49481010437,50,process_vision_data
17513.03744316101,50,process_vision_data
17643.52798461914,50,process_vision_data
17767.29917526245,50,process_vision_data
17421.745538711548,50,process_vision_data
17404.699325561523,50,process_vision_data
17483.59990119934,50,process_vision_data
17604.76064682007,50,process_vision_data
17398.694276809692,50,process_vision_data
17464.587211608887,50,process_vision_data
17521.158933639526,50,process_vision_data
17590.73829650879,50,process_vision_data
17400.176286697388,47,process_vision_data
17817.128896713257,50,process_auditory_data
17875.903129577637,50,process_auditory_data
17625.038623809814,50,process_auditory_data
17601.192712783813,50,process_auditory_data
17663.830041885376,50,process_auditory_data
17904.335498809814,50,process_auditory_data
16966.368436813354,27,process_auditory_data
16837.455987930298,23,process_auditory_data
17789.896726608276,50,process_auditory_data
17664.894819259644,50,process_auditory_data
17628.190517425537,50,process_auditory_data
17668.509483337402,50,process_auditory_data
17696.0608959198,50,process_auditory_data
17878.998517990112,50,process_auditory_data
17713.578701019287,50,process_auditory_data
17675.012588500977,50,process_auditory_data
17160.166025161743,25,process_auditory_data
17589.187145233154,48,process_auditory_data
17788.523197174072,50,process_auditory_data
17941.725969314575,50,process_auditory_data
17773.8037109375,50,process_auditory_data
17931.647062301636,50,process_auditory_data
17631.19912147522,50,process_auditory_data
17928.260803222656,50,process_auditory_data
17580.829858779907,50,process_auditory_data
17565.6681060791,50,process_auditory_data
17645.979404449463,50,process_auditory_data
17572.402238845825,50,process_auditory_data
17730.118989944458,50,process_auditory_data
17772.856950759888,50,process_auditory_data
17752.522230148315,50,process_auditory_data
17897.114992141724,50,process_auditory_data
17656.85725212097,50,process_auditory_data
17638.78059387207,49,process_auditory_data
