domain,step
Candle Dipping,Heating dipping wax
Handmaking Artisan Keychains,"Select materials (metal, wood, resin)"
Building a Handmade Cedar Strip Canoe,Assemble on form
Calligraphy,Designing compositions
Homemade Condiment Creation,Bottle and preserve
Playing a Video Game, Defeat enemies 
Crafting Bespoke Silverware with Hand-Hammered Details,Polish
Coppersmithing,Polish
Making Hand-Carved Stone Pendants,Polish
Crafting Bespoke Silver Napkin Rings,Polish
Creating Personalized Pet ID Tags with Metal Stamping,Polish
Making Hand-Forged Copper Bracelets with Hammered Texture,Polish
Crafting Bespoke Silver Ring with Stone Setting,Polish
Jewelry Making,Polish
Car Detailing,Polish
Jewelry Making,Polish
Calligraphy,Prepare ink and nib 
Hairdressing,Handling payments
Leathercraft,Dyeing leather
Leatherworking,Dyeing leather
Leathercraft,Dyeing leather
Shoe Repair,Dyeing leather
Leather Tooling,Dyeing leather
Upholstery,Repairing furniture frame
Papercraft (Model Making),Assemble sections
Crafting Bespoke Wrought Iron Fences,Assemble sections
Cobbling (Shoe Repair),Remove old sole and heel
Knitting,Creating buttonholes
Crafting Custom Fishing Lures,Design lure
Making Handcrafted Fishing Lures,Design lure
Creating Artisanal Pâte de Fruit with Natural Fruit Puree,Prepare fruit puree
Essential Oil Blending,Mixing essential oils and carrier oil in bottle or bowl
Glassblowing,Maintaining glassblowing equipment
Building Bee Hotels for Pollinators,Mount in garden
Making Hand-Stamped Clay Ornaments,Pierce hole for hanging
Creating Hand-Stamped Personalized Clay Pendants,Pierce hole for hanging
Hand-weaving baskets,Finish with decorative edge or handle
Yoga, Incorporate breathing techniques
Wine Making,Bottling wine
Embroidery,Selecting fabric suitable for embroidery
Tatting (Lace Making),Form rings and chains according to pattern
Vintage Typewriter Restoration,Clean all parts with solvent
Lace Making (Bobbin),Pin lace as you go
Home Repair,Gathering tools and materials
Artisanal Liqueur Crafting,Select base spirit and flavorings
Artisanal Candle Making (Beeswax),Remove from molds
Cigar Rolling,Trimming excess wrapper
Medical Billing,Conducting compliance audits
Building a Vertical Pallet Herb Garden,Plant herbs
Crafting Decorative Metal Plant Stands,Weld together
Crafting Bespoke Garden Trellis with Forged Iron,Weld together
Building a Customized Iron Fire Pit with Cut-Out Designs,Weld together
Inventory Management in Retail,Generating replenishment orders
Restaurant Service,Coordinating with kitchen staff
Quilting,Bind edges for finish
Hand-sewn Quilting,Bind edges for finish
Hand bottling beverages,Label bottles
Content Localization,Ensuring accuracy
Construction Project Management,Resolving change orders
Soapstone Carving,Sealing soapstone to enhance color and protect finish
Making Traditional Sleds,Design sled
Manual assembly of gingerbread houses,Prepare gingerbread dough and cut out house pieces
